epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,539.406,0.3421,0.27223,0.80288,0.95345,0.98016,0.97812,0.94044,0.31537,0.3054,0.80238,0.0006535,0.0006535,0.0006535
72,546.498,0.34793,0.28362,0.80323,0.95881,0.98057,0.98303,0.94397,0.31813,0.28558,0.80723,0.00064855,0.00064855,0.00064855
73,553.515,0.36354,0.29214,0.80565,0.95313,0.9881,0.99286,0.94818,0.31719,0.28552,0.80821,0.0006436,0.0006436,0.0006436
74,560.701,0.33701,0.27549,0.79837,0.96893,0.97977,0.98967,0.95147,0.30661,0.2607,0.80579,0.00063865,0.00063865,0.00063865
75,567.824,0.34658,0.28894,0.80513,0.95555,0.98947,0.97923,0.9308,0.32378,0.28094,0.8104,0.0006337,0.0006337,0.0006337
76,574.874,0.35158,0.28616,0.79296,0.95604,0.99002,0.97389,0.93597,0.29528,0.28176,0.80683,0.00062875,0.00062875,0.00062875
77,581.835,0.34224,0.27562,0.79568,0.9535,0.98936,0.97985,0.93909,0.30878,0.27505,0.80942,0.0006238,0.0006238,0.0006238
78,588.951,0.32766,0.27546,0.79778,0.95008,0.99086,0.97725,0.92551,0.34533,0.30043,0.81345,0.00061885,0.00061885,0.00061885
79,596.016,0.34502,0.29048,0.78407,0.95004,0.9905,0.98043,0.94343,0.31291,0.27694,0.80518,0.0006139,0.0006139,0.0006139
80,603.078,0.3617,0.28333,0.79593,0.95208,0.9823,0.98277,0.93871,0.31821,0.29599,0.80444,0.00060895,0.00060895,0.00060895
81,610.146,0.33642,0.27511,0.79013,0.95622,0.98388,0.98365,0.93732,0.33374,0.29062,0.80868,0.000604,0.000604,0.000604
82,617.107,0.33697,0.2709,0.7965,0.96454,0.98204,0.98145,0.93888,0.31999,0.27616,0.80588,0.00059905,0.00059905,0.00059905
83,624.136,0.33548,0.26807,0.78909,0.96452,0.98571,0.98193,0.94759,0.29657,0.27862,0.79938,0.0005941,0.0005941,0.0005941
84,631.264,0.3358,0.27054,0.7966,0.96082,0.9876,0.98218,0.93949,0.29494,0.27215,0.798,0.00058915,0.00058915,0.00058915
85,638.251,0.34793,0.291,0.7964,0.94715,1,0.98332,0.94196,0.32278,0.27537,0.80248,0.0005842,0.0005842,0.0005842
86,645.15,0.34569,0.27485,0.79204,0.95187,1,0.97975,0.94376,0.32605,0.28573,0.80397,0.00057925,0.00057925,0.00057925
87,652.091,0.33983,0.27172,0.79761,0.96642,0.99491,0.98069,0.94122,0.31355,0.26984,0.8006,0.0005743,0.0005743,0.0005743
88,659.066,0.3349,0.27253,0.79414,0.95793,0.99402,0.9867,0.95046,0.29939,0.2688,0.80111,0.00056935,0.00056935,0.00056935
89,665.975,0.3276,0.26559,0.79567,0.95231,0.99354,0.98948,0.94673,0.32629,0.28921,0.80708,0.0005644,0.0005644,0.0005644
90,672.914,0.32755,0.25957,0.79061,0.94788,0.99455,0.98721,0.93504,0.30709,0.27907,0.79941,0.00055945,0.00055945,0.00055945
91,679.845,0.32853,0.26479,0.79654,0.95148,0.98541,0.98769,0.93945,0.31939,0.27885,0.80278,0.0005545,0.0005545,0.0005545
92,686.811,0.31669,0.25807,0.79016,0.95408,0.98578,0.98475,0.94399,0.31019,0.28001,0.80381,0.00054955,0.00054955,0.00054955
93,693.721,0.33596,0.26168,0.79384,0.95767,0.9841,0.98326,0.9431,0.30633,0.27125,0.80451,0.0005446,0.0005446,0.0005446
94,700.699,0.33062,0.26284,0.79864,0.96611,0.98399,0.98291,0.94189,0.32549,0.27446,0.80401,0.00053965,0.00053965,0.00053965
95,707.652,0.3253,0.26691,0.80553,0.96785,0.99169,0.98263,0.94364,0.29485,0.27344,0.79722,0.0005347,0.0005347,0.0005347
96,714.583,0.33322,0.26457,0.793,0.96505,0.9881,0.97376,0.94095,0.29277,0.27166,0.7994,0.00052975,0.00052975,0.00052975
97,721.519,0.32337,0.26362,0.79153,0.95531,0.9881,0.96591,0.92415,0.32423,0.30407,0.80138,0.0005248,0.0005248,0.0005248
